,0,1,2,3,4,5,6,7,8,9,10,11
0,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-3580', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-3580'}",The Singel Bridge at the Paleisstraat in Amsterdam,,False,,,[],,SK-A-3580,True
1,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-447', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-447'}",Fishing for Souls,,False,,,[],,SK-A-447,True
2,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-4', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-4'}",The Threatened Swan,,False,,,[],,SK-A-4,True
3,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-404', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-404'}","Gallant Conversation, Known as ‘The Paternal Admonition’",,False,,,[],,SK-A-404,True
4,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-1365', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-1365'}",The Battle of Terheide,,False,,,[],,SK-A-1365,True
5,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-3064', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-3064'}",Portrait of a Girl Dressed in Blue,,False,,,[],,SK-A-3064,True
6,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-2860', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-2860'}","View of Houses in Delft, Known as The Little Street",,False,,,[],,SK-A-2860,True
7,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-109', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-109'}",Italian Landscape with a Draughtsman,,False,,,[],,SK-C-109,True
8,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-2344', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-2344'}",The Milkmaid,,False,,,[],,SK-A-2344,True
9,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-799', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-799'}",Floral Still Life,,False,,,[],,SK-A-799,True
10,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-251', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-251'}",Woman Reading a Letter,,False,,,[],,SK-C-251,True
11,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-229', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-229'}",The Merry Family,,False,,,[],,SK-C-229,True
12,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-2963', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-2963'}",Portrait of Don Ramón Satué,,False,,,[],,SK-A-2963,True
13,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-135', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-135'}","A Militiaman Holding a Berkemeyer, Known as the ‘Merry Drinker’",,False,,,[],,SK-A-135,True
14,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-2099', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-2099'}",Still Life with Asparagus,,False,,,[],,SK-A-2099,True
15,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-1796', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-1796'}",The Fête champêtre,,False,,,[],,SK-A-1796,True
16,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-2', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-2'}",Banquet at the Crossbowmen’s Guild in Celebration of the Treaty of Münster,,False,,,[],,SK-C-2,True
17,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-175', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-175'}","A Pelican and other Birds near a Pool, Known as ‘The Floating Feather’",,False,,,[],,SK-A-175,True
18,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-133', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-133'}","Portrait of a Couple, Probably Isaac Abrahamsz Massa and Beatrix van der Laen",,False,,,[],,SK-A-133,True
19,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-4100', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-4100'}",The Art Gallery of Jan Gildemeester Jansz,,False,,,[],,SK-A-4100,True
20,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-1976-75', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-1976-75'}",Lidded ewer,,False,,,[],,BK-1976-75,True
21,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/AK-MAK-187', u'self': u'https://www.rijksmuseum.nl/api/en/collection/AK-MAK-187'}",Shiva Nataraja,,False,,,[],,AK-MAK-187,True
22,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-180', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-180'}",The Merry Fiddler,,False,,,[],,SK-A-180,True
23,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-2382', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-2382'}",Children of the Sea,,False,,,[],,SK-A-2382,True
24,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-1405', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-1405'}",Portrait of Jacob Cornelisz van Oostsanen,,False,,,[],,SK-A-1405,True
25,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-4118', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-4118'}",River Landscape with Riders,,False,,,[],,SK-A-4118,True
26,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-128', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-128'}",The Massacre of the Innocents,,False,,,[],,SK-A-128,True
27,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-149', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-149'}","A Mother Delousing her Child’s Hair, Known as ‘A Mother’s Duty’",,False,,,[],,SK-C-149,True
28,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-4821', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-4821'}",Still Life with Cheese,,False,,,[],,SK-A-4821,True
29,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/AK-MAK-240', u'self': u'https://www.rijksmuseum.nl/api/en/collection/AK-MAK-240'}",The bodhisattva Manjushri,,False,,,[],,AK-MAK-240,True
30,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/AK-MAK-84', u'self': u'https://www.rijksmuseum.nl/api/en/collection/AK-MAK-84'}",Guanyin,,False,,,[],,AK-MAK-84,True
31,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-597', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-597'}","Portrait of a Woman, Possibly Maria Trip",,False,,,[],,SK-C-597,True
32,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-216', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-216'}","Portrait of a Couple as Isaac and Rebecca, known as ‘The Jewish Bride’",,False,,,[],,SK-C-216,True
33,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-1115', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-1115'}",The Battle of Waterloo,,False,,,[],,SK-A-1115,True
34,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-4050', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-4050'}",Self Portrait as the Apostle Paul,,False,,,[],,SK-A-4050,True
35,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-4691', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-4691'}",Self-portrait,,False,,,[],,SK-A-4691,True
36,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-4830', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-4830'}",Still Life with a Gilt Cup,,False,,,[],,SK-A-4830,True
37,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-1451', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-1451'}",The Well-stocked Kitchen,,False,,,[],,SK-A-1451,True
38,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-1505', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-1505'}","A Windmill on a Polder Waterway, Known as ‘In the Month of July’",,False,,,[],,SK-A-1505,True
39,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-3841', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-3841'}",Worship of the Golden Calf,,False,,,[],,SK-A-3841,True
40,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-AM-33', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-AM-33'}",Weepers from the tomb of Isabella of Bourbon,,False,,,[],,BK-AM-33,True
